BGT_ID,"BGT_Term"
17,"map"
3,"allegory"
14,"maritime"
5,"portrait"
16,"architecture"
7,"landscape"
8,"still life"
9,"narrative"
10,"emblem / symbol"
11,"memento mori"
12,"printer's mark"
13,"animal art"
